unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_806,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,8000.0,115.0,,,dakahlia,Sakan Masr,سكن مصر، المنصورة الجديدة,,,,31.480217970489,31.430468559265
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_807,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,15000.0,140.0,,,cairo,El Lebeny,فيصل,,,,29.986799356746236,31.14993914859951
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_808,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,30000.0,180.0,,,cairo,El Falaki,وسط البلد,,,,30.04,31.238
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_809,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,90.0,,,cairo,Amr Ibn El-Aas St.,"شارع عمرو بن العاص, المرحله الثانيه",,,,30.06129761,31.48795817
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_810,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,200.0,,,cairo,Lebanon St,المهندسين,,,,30.057452250783,31.195214836771
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_812,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,160.0,,,cairo,El Mostashareen Compound,Al Mostashareen,,,,30.0082883,31.4787159
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_813,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,11500.0,130.0,,,cairo,El Lebeny,فيصل، الجيزة,,,,29.986799356746236,31.14993914859951
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_815,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,55000.0,300.0,,,cairo,Abo El Hawl 2,"ابو الهول 2, جاردينيا هايتس - أبو الهول",,,,29.988,31.474
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_816,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,90000.0,160.0,,,cairo,Sky Condos Compound - Villette,Villette,,,,30.017217639312,31.550363894203
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_817,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,80000.0,140.0,,,cairo,Moon Valley Compound 1 - Arabia,"كمبوند مون فالي 1 - ارابيا, كمبوند بالتجمع الخامس",,,,30.023,31.488
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_818,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,40000.0,131.0,,,cairo,Phase 8,"المرحله الثامنه, إمتداد الرحاب",,,,30.067,31.514
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_819,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,27000.0,120.0,,,cairo,Degla Towers - Morshedy Group,مدينة نصر,,,,30.0309095,31.365136
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_820,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,200.0,,,cairo,Zaid Ebn Haretha St.,"شارع زيد بن حارثه, جنوب الاكاديميه (أ)",,,,30.02711545,31.42079232
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_821,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,150000.0,310.0,,,cairo,Boulevard Residence Mivida,البوليفارد ,,,,30.010861899984,31.542700379068
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_822,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,109.0,,,cairo,The Address Compound - Dorra,ذا ادرس,,,,30.043,30.981
